fid;class;Landsat8_2024-07-23_1;Landsat8_2024-07-23_2;Landsat8_2024-07-23_3;Landsat8_2024-07-23_4;Landsat8_2024-07-23_5;Landsat8_2024-07-23_6;Landsat8_2024-07-23_7;NDVI;NDMI;NBR
48;1;8189;8352;9121;9199;18077;15870;11613;0.3254876081536882;0.06501310866939641;0.21771640282923543
49;1;8117;8287;9100;9099;17636;15626;11506;0.3193192444361324;0.060429318742108114;0.21034932399972547
50;1;8244;8481;9348;9559;18408;15605;11555;0.3164086244502449;0.08240966689207067;0.22871541567933784
51;1;8418;8674;9699;9935;18581;17821;12929;0.3031982045167625;0.02087797373770672;0.17937162805458584
52;1;8500;8745;9794;10048;18918;18154;13096;0.30622108679141063;0.02060854553301683;0.1818579371524958
53;1;7992;8207;8937;8874;17071;14444;10937;0.3159375602235498;0.0833571315246708;0.21900885461296773
54;1;7926;8055;8806;8688;16306;14232;10702;0.30479315035608545;0.06791538411159867;0.2074940758293839
55;1;8236;8508;9463;9625;18741;16761;12164;0.32137065500951845;0.05577150583065743;0.21281346060508008
56;1;7946;8041;8754;8566;16585;13741;10359;0.31883424118325315;0.09378091406713711;0.23107185273159145
57;1;8089;8342;9199;9311;18090;16123;11754;0.32038976679683223;0.057492765907695906;0.21230398069963813
58;1;8096;8368;9317;9573;18424;16070;11823;0.31614101510876164;0.06824375253667304;0.2182365193242305
59;1;8195;8392;9192;9332;17024;15446;11502;0.29185005311883444;0.04859870649830613;0.19357778868400757
60;1;7960;8106;8887;8789;17615;14474;10777;0.3342675352219361;0.09788401009691795;0.24084249084249085
61;1;8372;8582;9601;9804;18250;17280;12610;0.30106223711413704;0.02730087250211089;0.18276085547634477
62;1;8247;8494;9385;9481;18649;16469;12011;0.3259153928190544;0.06207642804259924;0.21650358773646444
63;1;8177;8428;9251;9355;18672;16224;11795;0.3324294430370714;0.07015130674002751;0.22571963107624643
64;1;8003;8184;8931;8958;16697;14457;10945;0.3016565971545508;0.07190087950182962;0.20808913971492657
65;1;8232;8418;9211;9282;16853;15438;11495;0.2896881576430075;0.04382025951503515;0.18900804289544235
66;1;8262;8358;9292;9152;19621;15733;11489;0.36384805199318804;0.10997341177801663;0.261395049823208
67;1;8325;8411;9188;9080;19378;15551;11283;0.3618666104434605;0.10956511781041542;0.26401617690225365
68;1;8122;8265;9023;8799;18949;15020;11141;0.3657921291624622;0.11566428213959787;0.25948820206048523
69;1;8102;8227;9066;8861;19013;15340;11142;0.36421037526009903;0.10691933746688789;0.26101807328801196
70;1;7836;7889;8483;8207;15966;12409;9630;0.32097795060604806;0.1253568281938326;0.24753867791842477
71;1;8128;8252;9109;8886;19951;15439;11206;0.3837084301418317;0.1274936422718282;0.2806752896620342
72;1;8036;8141;8696;8506;16966;13379;10100;0.3321293969849246;0.11820728291316526;0.25367619892115567
73;1;8231;8362;9247;9163;18438;15978;11693;0.3360385493279229;0.07147838214783822;0.22385582954432312
74;1;7998;8056;8523;8374;15275;13019;9914;0.2918093788320859;0.07973421926910298;0.21283099765770774
75;1;8066;8167;8934;8740;18401;14713;10781;0.3559559338270513;0.11137283324273721;0.26111986841203483
76;1;8130;8190;8778;8384;19219;13827;10299;0.39252979748578054;0.16316649518852508;0.30218849515549834
77;1;8096;8239;8983;8801;18301;14977;11034;0.35052763633680173;0.09988581044533926;0.2477245611044827
78;1;8343;8506;9519;9412;20359;17614;12485;0.36770682879312083;0.07228820477707845;0.23973937401047377
79;1;8128;8286;9026;9001;17889;15127;11215;0.3305317962067683;0.08365640901381148;0.2293155579989005
80;1;8127;8189;8950;8677;18859;14577;10589;0.3697704822777455;0.12806555808111017;0.28083401249660417
81;1;8123;8248;9104;8961;18035;15386;11379;0.33612387020299306;0.07926154214416085;0.22628680220303257
82;1;8555;8738;9734;9878;19817;17404;12658;0.33470281192119883;0.06482899438489025;0.22044649730561972
83;1;8027;7988;8497;7939;18077;12395;9344;0.38968327183271834;0.1864662641113153;0.31847853834652273
84;1;8178;8309;9201;9060;19454;15623;11300;0.3645226906081223;0.10921686575248739;0.26513624244000783
85;1;7843;7915;8502;8209;16250;12322;9549;0.32875424179238727;0.1374772504549909;0.2597387495639366
86;1;7993;8083;8780;8550;17747;13794;10252;0.3497357112978667;0.12532893693922195;0.26768813171899
87;1;8051;8209;8984;8801;17973;14519;10793;0.34257115111675507;0.1063030899913825;0.24960022248487798
88;1;8478;8757;9449;9659;17587;16754;12439;0.29097849225574396;0.024256719373343817;0.17145140877905815
89;1;8161;8299;9098;8826;19518;15719;11310;0.37722269263336156;0.10781281039816103;0.2662514597119502
90;1;8202;8442;9295;9518;17903;16197;11926;0.3057875351008351;0.05002932551319648;0.2003754735324684
91;1;8188;8433;9193;9296;18097;15479;11449;0.3212864600445369;0.07797236121038838;0.22500507682935084
92;1;8184;8406;9264;9368;17651;16355;12015;0.3065620489285318;0.038110921602070226;0.18998179734376053
93;1;8232;8454;9587;9619;19793;17139;12254;0.34591323269413843;0.0718618000649843;0.23524822916341623
94;1;8157;8379;9255;9392;17137;15861;11731;0.2919446643296016;0.03866901024304503;0.18726617708188997
95;1;8282;8533;9542;9698;18863;17605;12634;0.32089212562585345;0.03449599649007349;0.19776486649522176
96;1;8178;8426;9271;9472;17698;15834;11746;0.3027603974972396;0.055588691399260405;0.20214644749354707
97;1;8123;8386;9234;9415;17453;16202;11975;0.2991662944767009;0.0371712969841034;0.18614924561641974
98;1;8234;8479;9387;9680;17781;16608;12239;0.2950001820763993;0.03410974439501003;0.18461025982678214
99;1;8005;8189;8986;9092;15612;14787;11314;0.26392487046632124;0.02713905062666535;0.1596226695387358
100;1;8207;8487;9379;9548;17870;16319;12070;0.30352323291268507;0.04536546842551698;0.19372077488309952
101;1;8176;8390;9212;9263;18136;15969;11714;0.3238439359100697;0.06353907051751942;0.215142378559464
102;1;7883;8052;8607;8626;16001;13419;10316;0.29946806350753236;0.08776342624065261;0.21602006307709845
103;1;8276;8549;9634;10001;18300;17993;12994;0.29324052153634145;0.008458931474389001;0.16955326899725187
104;1;8238;8536;9392;9684;18701;16792;12287;0.3176677822793729;0.05378525343025385;0.2069833483929263
105;1;8017;8207;8901;8897;17896;14524;10871;0.3358713096704363;0.1040098704503393;0.24420342753849897
106;1;8161;8342;8929;9081;16143;14184;10885;0.27997145575642246;0.06459590463943021;0.19453899659612253
107;1;8221;8422;9372;9439;17868;16170;11835;0.30867543120811514;0.04988542217521594;0.2031107968892031
108;1;8240;8327;8882;8896;15571;13576;10453;0.27281644664241633;0.06844615226266854;0.19666461727636028
109;1;8284;8459;9253;9238;17299;15914;11697;0.30376455514941403;0.04170053894559359;0.19319906193957787
110;1;8001;8010;8622;8349;16053;12591;9653;0.3157118268994345;0.12086300795978215;0.24896911226950907
111;1;8389;8559;9399;9468;17603;16428;12055;0.3005060766133501;0.03452734271693456;0.18706588441567198
112;1;8485;8673;9510;9684;17984;16580;12257;0.2999855428654041;0.04062029857655364;0.18937865811315763
113;1;8103;8247;8917;8956;16550;14495;10901;0.297733866541206;0.06619423417619584;0.20578485301081928
114;1;8030;8099;8794;8438;17827;13984;10258;0.35747192080715784;0.12080726792618905;0.2695032935730817
115;1;8115;8246;8940;8896;17101;14604;10930;0.3156133400007693;0.07875729380223939;0.22014912061646036
116;1;8411;8518;9365;9337;19237;15991;11574;0.34646881780639743;0.09214261382990803;0.24870987634286457
117;1;8447;8602;9383;9322;18595;16318;11844;0.33216319805136657;0.06521925930169278;0.22178783797102403
118;1;8097;8151;8494;8415;14516;12233;9649;0.26605904670533337;0.08534898500878538;0.20140699358576453
119;1;8169;8318;9017;9054;17102;14863;11100;0.3076923076923077;0.07004536211481308;0.21282178568895824
120;1;8138;8331;9251;9423;17888;15817;11698;0.3099483724506609;0.06144488948227266;0.20922057730007437
121;1;7900;8053;8597;8560;15719;13371;10247;0.2948638741299065;0.08071502234444826;0.21073711776939075
122;1;8047;8228;8943;8920;18099;14922;10988;0.3397238979977053;0.09621150177159989;0.24447347612335407
123;1;7936;8081;8902;8838;17658;14300;10615;0.3328804347826087;0.1050754114775643;0.249106921798182
124;1;7869;7979;8632;8515;16317;13663;10258;0.31419136597938147;0.08852568378919279;0.22799623706491062
125;1;8151;8409;9214;9468;17778;15921;11735;0.3049988989209425;0.055105492744591825;0.20475722562938367
126;1;7882;8015;8703;8632;16353;13758;10386;0.3090254152491495;0.08618112981966723;0.2231571861326153
127;0;8014;7984;8598;8015;19878;12958;9427;0.42530383967303625;0.21074430503106348;0.3566285616788944
128;0;7991;7972;8595;7985;20448;12579;9195;0.4383287025639222;0.23825960577709146;0.3796174476267584
129;0;8093;8102;8722;8180;20493;13462;9754;0.4294283821016287;0.2070681784715064;0.3550434753859887
130;0;8089;8076;8734;8162;20376;13420;9679;0.42799074917653657;0.2058231743401586;0.3559141573781401
131;0;7997;8002;8617;8093;19640;13354;9753;0.41636317744203655;0.1905194883918288;0.3363726057224509
132;0;8073;8071;8782;8157;21067;13638;9746;0.4417601970982754;0.2140613744417231;0.36740985947489696
133;0;7963;7954;8580;7993;20125;13080;9547;0.4314673874386514;0.21216684234302063;0.35649770827716365
134;0;8062;8074;8686;8075;20513;13168;9519;0.43507765496012313;0.218075472818503;0.36607618540223763
135;0;8045;8016;8643;8087;19530;13287;9611;0.4143462360140493;0.1902367675290246;0.3403795339899111
136;0;8023;8011;8624;8047;20129;12937;9419;0.4288046564452016;0.21750438516905582;0.3624610802761608
137;0;7972;7904;8343;7891;17766;11698;9058;0.3848852165101142;0.20594623947868584;0.3246346555323591
138;0;8052;8035;8843;8197;21729;13913;9849;0.452182049054334;0.21929184669771618;0.37621128633859013
139;0;8068;8046;8696;8153;19978;13339;9674;0.4203547687604422;0.19926764114416065;0.34749763928234184
140;0;8022;8016;8566;8022;19341;12911;9474;0.4136607828089025;0.19936748108644425;0.3424258198854763
141;0;7774;7794;8384;7943;18252;11796;9077;0.3935483870967742;0.21485623003194887;0.3357239562369644
142;0;8050;8036;8594;8091;18603;12228;9223;0.3937963587322994;0.20677240439817068;0.3370948034212607
143;0;8053;8017;8478;8025;18048;12388;9346;0.38442066505580486;0.1859639900118281;0.3176608016353946
144;0;7987;7965;8525;7951;18973;12370;9211;0.40937453573020355;0.21066904891044252;0.3463667328980982
145;0;7908;7869;8386;7834;19097;11694;8925;0.4182169247335784;0.24042739761618656;0.3630004996074513
146;0;7927;7964;8599;8030;20331;13435;9688;0.43372941715736396;0.20422910620150447;0.3545421233218961
147;0;7982;7974;8508;8011;17945;12200;9246;0.3827246108799507;0.19057886880079616;0.3199220330256335
148;0;8020;8008;8588;8053;18880;12617;9377;0.4019975494746222;0.19884433438105217;0.3363060480588881
149;0;7985;7965;8456;7933;18421;12518;9327;0.39796615314563255;0.1907947897475678;0.3277353322762001
150;0;7989;7966;8532;7991;19590;12887;9471;0.4205431275153185;0.2063922160298057;0.34819861670279756
151;0;7969;7954;8528;7934;20889;12718;9288;0.4494674391978628;0.24313387091974886;0.38443185207277064
152;0;8077;8067;8743;8136;20112;13288;9627;0.4239592183517417;0.204311377245509;0.35256733582164834
153;0;8084;8055;8650;8050;19641;12879;9461;0.41858365533927994;0.20793357933579334;0.3498041371727029
154;0;7954;7943;8547;7971;19843;12699;9324;0.4268354066297548;0.2195316821338578;0.3606473068879213
155;0;8039;8006;8712;8102;20153;13404;9671;0.4265085825517608;0.2011204815686742;0.35146190987124465
156;0;8049;8045;8605;8043;19884;13074;9509;0.42399828123321515;0.2066266156926998;0.3529751981764366
157;0;7999;8016;8730;8074;20627;13732;9803;0.4373715201560921;0.20067522337669896;0.35570161025303976
158;0;7931;7900;8545;7943;20208;12193;9006;0.4356861212745551;0.2473689083670257;0.3834462928732799
159;0;7909;7927;8457;7937;18572;12059;9053;0.40118450337621187;0.2126277300773726;0.344579185520362
160;0;7925;7914;8434;7917;18009;12482;9322;0.38926174496644295;0.18126660325997834;0.31784420621272547
161;0;7977;7960;8493;7932;18912;12500;9207;0.40902995082700044;0.20412581179167197;0.3451402965966073
162;0;7985;7955;8580;7980;19887;12467;9193;0.4272795779954785;0.22933794893985288;0.36774415405777167
163;0;7956;7928;8532;7929;20320;12116;8966;0.4386349959290594;0.25292884449377234;0.387693778597282
164;0;8044;8010;8576;8025;19370;12604;9301;0.4141266654498996;0.21160943266403953;0.3511910990199156
